timestamps population node_ids
1253.5 v1 157812
361.75 v1 157812
237.75 v1 157812
1399.0 v1 157811
1251.25 v1 157811
797.0 v1 157811
577.5 v1 157811
417.75 v1 157811
603.75 v1 157808
825.5 v1 157806
679.0 v1 157819
182.25 v1 157790
1104.0 v1 157785
278.25 v1 157769
115.25 v1 157769
1395.75 v1 157768
1223.0 v1 157768
993.75 v1 157768
822.25 v1 157768
445.75 v1 157768
183.25 v1 157768
41.75 v1 157768
14.75 v1 157768
1136.5 v1 157766
1057.25 v1 157766
720.25 v1 157766
464.25 v1 157766
25.75 v1 157766
1308.0 v1 157765
1065.5 v1 157765
595.0 v1 157765
169.0 v1 157765
100.0 v1 157765
1397.0 v1 157761
937.25 v1 157761
337.5 v1 157761
111.25 v1 157761
1260.0 v1 157760
1058.25 v1 157760
398.5 v1 157760
306.0 v1 157760
132.0 v1 157760
1097.25 v1 157769
1254.5 v1 157785
213.75 v1 157778
952.0 v1 157778
915.5 v1 157785
695.0 v1 157785
498.0 v1 157785
374.5 v1 157785
305.0 v1 157785
138.25 v1 157785
1269.5 v1 157784
1170.75 v1 157784
1107.5 v1 157784
982.5 v1 157784
726.25 v1 157784
668.5 v1 157784
251.75 v1 157784
1325.75 v1 157781
1179.0 v1 157781
867.25 v1 157781
769.75 v1 157781
727.0 v1 157781
504.25 v1 157781
488.5 v1 157781
428.0 v1 157781
317.25 v1 157781
81.0 v1 157781
1102.25 v1 157780
848.0 v1 157780
371.25 v1 157780
289.25 v1 157780
72.75 v1 157780
1107.25 v1 157778
544.25 v1 157778
145.0 v1 157957
837.25 v1 157958
1058.5 v1 157960
1384.0 v1 158155
1070.25 v1 158155
1015.5 v1 158155
778.75 v1 158155
127.5 v1 158155
55.25 v1 158155
1329.5 v1 158153
1194.25 v1 158153
1071.25 v1 158153
749.5 v1 158153
714.0 v1 158153
367.25 v1 158153
261.25 v1 158153
39.0 v1 158157
123.25 v1 158153
1362.25 v1 158152
1102.75 v1 158152
695.25 v1 158152
219.75 v1 158152
1125.75 v1 158151
987.5 v1 158151
786.25 v1 158151
562.0 v1 158151
312.5 v1 158151
117.5 v1 158151
1248.25 v1 158149
854.25 v1 158149
411.0 v1 158149
74.5 v1 158153
213.75 v1 158157
268.0 v1 158157
772.0 v1 158157
955.0 v1 158178
1105.0 v1 158175
453.0 v1 158175
1292.25 v1 158171
963.75 v1 158171
488.5 v1 158171
182.75 v1 158171
1391.0 v1 158167
98.25 v1 158167
1215.75 v1 158165
929.75 v1 158165
457.25 v1 158165
249.0 v1 158165
1385.75 v1 158164
324.0 v1 158164
1021.0 v1 158161
886.25 v1 158161
322.0 v1 158161
1361.0 v1 158159
1223.5 v1 158159
618.0 v1 158159
540.75 v1 158159
340.0 v1 158159
191.5 v1 158159
1076.25 v1 158158
388.75 v1 158158
332.0 v1 158158
1360.0 v1 158157
1126.75 v1 158157
209.25 v1 158149
309.0 v1 158147
143.5 v1 158147
1055.5 v1 158146
981.0 v1 158126
405.75 v1 158126
113.75 v1 158126
670.0 v1 158121
490.5 v1 158121
401.75 v1 158121
331.0 v1 158121
288.5 v1 158121
1391.25 v1 158120
917.75 v1 158120
247.75 v1 158120
956.25 v1 158119
869.0 v1 158119
313.25 v1 158119
1308.0 v1 158117
1270.75 v1 158114
117.25 v1 158114
29.5 v1 158114
1330.5 v1 158112
1133.75 v1 158110
875.25 v1 158110
325.0 v1 158110
310.5 v1 158110
1325.5 v1 158107
830.75 v1 158107
610.0 v1 158107
273.75 v1 158107
79.75 v1 158107
1002.0 v1 158104
1142.25 v1 158126
1140.75 v1 158178
312.0 v1 158129
970.75 v1 158129
502.5 v1 158146
143.75 v1 158146
1270.0 v1 158145
1061.75 v1 158145
826.0 v1 158145
732.25 v1 158145
674.25 v1 158145
442.0 v1 158145
327.25 v1 158145
216.75 v1 158145
1385.0 v1 158144
1235.75 v1 158144
848.25 v1 158144
675.25 v1 158144
230.25 v1 158144
72.5 v1 158144
1148.25 v1 158141
804.75 v1 158141
1278.75 v1 158140
1165.5 v1 158140
1030.25 v1 158140
824.75 v1 158140
724.5 v1 158140
498.0 v1 158140
1272.75 v1 158136
178.0 v1 158134
29.75 v1 158134
615.5 v1 158130
1172.5 v1 158129
401.5 v1 158129
444.0 v1 158180
91.25 v1 158182
166.0 v1 158182
320.5 v1 158246
1235.75 v1 158245
974.5 v1 158245
355.25 v1 158245
1049.25 v1 158240
842.75 v1 158240
293.75 v1 158240
1162.0 v1 158238
310.25 v1 158237
1277.0 v1 158236
982.0 v1 158236
837.5 v1 158236
457.5 v1 158236
485.5 v1 158230
150.75 v1 158230
1137.5 v1 158229
833.75 v1 158229
582.5 v1 158229
271.0 v1 158229
1227.0 v1 158226
1074.75 v1 158226
519.25 v1 158226
384.75 v1 158226
260.25 v1 158226
922.5 v1 158225
567.0 v1 158225
1068.25 v1 158223
613.25 v1 158223
112.0 v1 158223
499.0 v1 158246
1170.75 v1 158221
729.5 v1 158246
148.25 v1 158247
261.75 v1 158262
1332.5 v1 158259
1149.0 v1 158259
1090.5 v1 158259
847.0 v1 158259
608.75 v1 158259
383.25 v1 158259
235.25 v1 158259
1299.5 v1 158258
1141.25 v1 158258
223.5 v1 158258
58.0 v1 158258
1124.75 v1 158256
282.75 v1 158256
90.0 v1 158256
72.75 v1 158256
1331.25 v1 158252
999.25 v1 158252
562.0 v1 158252
362.0 v1 158252
253.75 v1 158252
84.0 v1 158252
814.0 v1 158248
57.75 v1 158248
1352.0 v1 158247
1164.0 v1 158247
755.5 v1 158247
647.0 v1 158247
446.75 v1 158247
1141.75 v1 158246
788.0 v1 158104
984.75 v1 158221
576.5 v1 158221
949.25 v1 158205
783.0 v1 158205
436.0 v1 158205
1264.0 v1 158200
981.75 v1 158200
839.5 v1 158200
505.75 v1 158200
119.0 v1 158200
601.5 v1 158197
315.5 v1 158197
932.0 v1 158196
305.0 v1 158196
1146.0 v1 158194
982.75 v1 158194
606.0 v1 158194
116.0 v1 158194
981.0 v1 158192
926.25 v1 158192
395.5 v1 158192
248.75 v1 158192
45.5 v1 158192
739.75 v1 158190
830.0 v1 158188
381.25 v1 158188
1361.25 v1 158187
441.25 v1 158187
1359.5 v1 158182
1207.0 v1 158182
262.0 v1 158182
1292.25 v1 158205
655.5 v1 158221
1363.5 v1 158205
106.75 v1 158207
302.5 v1 158221
166.0 v1 158221
178.75 v1 158220
1283.75 v1 158218
1053.25 v1 158218
677.75 v1 158218
409.0 v1 158218
40.0 v1 158218
1386.5 v1 158215
1098.25 v1 158215
941.0 v1 158215
907.0 v1 158215
703.5 v1 158215
30.5 v1 158215
1343.75 v1 158214
1124.5 v1 158214
383.25 v1 158214
1353.5 v1 158213
946.5 v1 158213
531.25 v1 158213
309.75 v1 158213
209.5 v1 158213
83.0 v1 158213
1173.5 v1 158210
410.25 v1 158210
957.75 v1 158207
880.5 v1 158207
790.75 v1 158207
328.0 v1 158207
54.0 v1 158207
427.25 v1 158104
1390.25 v1 158101
1200.0 v1 158101
563.75 v1 158020
394.5 v1 158020
1207.75 v1 158017
407.5 v1 158017
1381.25 v1 158016
617.5 v1 158016
318.5 v1 158016
839.5 v1 158015
223.0 v1 158015
506.75 v1 158014
317.5 v1 158014
269.25 v1 158014
54.5 v1 158014
1363.75 v1 158013
1242.25 v1 158013
656.75 v1 158013
288.0 v1 158013
888.0 v1 158012
457.5 v1 158012
164.5 v1 158012
132.5 v1 158012
1382.75 v1 158009
1154.5 v1 158009
1019.5 v1 158009
940.5 v1 158009
863.0 v1 158009
816.5 v1 158009
298.5 v1 158009
123.5 v1 158009
653.75 v1 158020
37.5 v1 158009
944.5 v1 158020
1241.75 v1 158020
1246.25 v1 158034
1099.75 v1 158034
915.25 v1 158034
721.0 v1 158034
612.25 v1 158034
412.0 v1 158034
27.0 v1 158034
328.5 v1 158033
1255.5 v1 158031
735.75 v1 158031
410.0 v1 158031
367.75 v1 158031
883.75 v1 158030
507.25 v1 158030
161.25 v1 158030
1136.25 v1 158029
937.25 v1 158029
722.5 v1 158029
607.75 v1 158029
545.75 v1 158029
300.5 v1 158029
1326.0 v1 158027
1042.75 v1 158027
659.5 v1 158027
1251.0 v1 158026
1086.25 v1 158026
898.0 v1 158026
783.5 v1 158026
158.5 v1 158026
1103.0 v1 158020
417.75 v1 158038
1105.0 v1 158004
956.25 v1 158004
981.0 v1 157988
255.25 v1 157988
1227.75 v1 157986
1097.75 v1 157986
397.5 v1 157986
1385.25 v1 157985
1108.0 v1 157985
1256.75 v1 157982
978.5 v1 157982
623.5 v1 157982
514.5 v1 157982
246.25 v1 157982
132.25 v1 157982
1033.75 v1 157978
679.5 v1 157978
63.5 v1 157978
387.25 v1 157976
73.75 v1 157976
327.5 v1 157975
1383.75 v1 157966
1393.25 v1 157961
1254.5 v1 157961
886.0 v1 157961
724.5 v1 157961
689.5 v1 157961
406.0 v1 157961
