timestamps population node_ids
120.25 v1 158182
15.75 v1 158182
136.25 v1 158180
1133.25 v1 158159
846.0 v1 158161
1278.25 v1 158161
213.25 v1 158164
607.0 v1 158165
1047.25 v1 158165
1379.75 v1 158194
1172.5 v1 158165
290.0 v1 158167
114.75 v1 158171
248.5 v1 158171
780.25 v1 158171
1146.75 v1 158171
1167.25 v1 158175
17.0 v1 158167
406.5 v1 158196
415.25 v1 158199
405.0 v1 158200
1297.0 v1 158210
138.25 v1 158213
315.75 v1 158213
487.75 v1 158213
581.0 v1 158213
601.25 v1 158213
970.5 v1 158210
889.0 v1 158213
1321.0 v1 158213
50.0 v1 158214
190.0 v1 158214
379.0 v1 158214
902.0 v1 158214
1005.0 v1 158214
1058.75 v1 158213
1107.75 v1 158400
803.5 v1 158210
94.5 v1 158210
1257.5 v1 158200
1380.5 v1 158200
208.5 v1 158205
310.5 v1 158205
424.5 v1 158205
605.75 v1 158205
302.0 v1 158210
741.5 v1 158205
1071.0 v1 158205
1350.25 v1 158205
247.25 v1 158207
315.75 v1 158207
593.0 v1 158207
954.75 v1 158207
1052.75 v1 158205
1282.75 v1 158100
473.0 v1 158401
23.5 v1 158402
418.0 v1 158603
361.75 v1 158603
247.25 v1 158603
397.75 v1 158602
1380.5 v1 158601
1176.25 v1 158601
840.75 v1 158601
753.5 v1 158601
450.25 v1 158601
1146.5 v1 158600
996.25 v1 158600
932.75 v1 158600
782.75 v1 158600
562.25 v1 158600
443.0 v1 158600
287.75 v1 158600
217.5 v1 158600
1090.75 v1 158584
307.25 v1 158587
1269.75 v1 158587
72.25 v1 158588
702.5 v1 158588
462.5 v1 158590
541.5 v1 158603
288.75 v1 158594
753.0 v1 158596
448.0 v1 158597
713.25 v1 158597
1269.5 v1 158597
1297.0 v1 158599
148.0 v1 158600
225.5 v1 158596
1379.0 v1 158581
820.5 v1 158603
188.25 v1 158605
85.25 v1 158624
976.75 v1 158623
43.5 v1 158623
1371.75 v1 158622
1252.75 v1 158622
957.75 v1 158622
890.25 v1 158622
411.5 v1 158622
1022.0 v1 158621
71.5 v1 158621
1236.75 v1 158618
896.75 v1 158618
723.0 v1 158618
164.5 v1 158618
66.75 v1 158618
299.25 v1 158617
46.25 v1 158617
552.75 v1 158605
1096.0 v1 158605
1373.25 v1 158605
118.75 v1 158607
794.25 v1 158607
1111.25 v1 158607
96.0 v1 158605
574.5 v1 158609
400.0 v1 158611
868.0 v1 158611
1100.5 v1 158611
241.0 v1 158612
109.25 v1 158615
659.75 v1 158615
1089.0 v1 158609
214.75 v1 158624
916.5 v1 158581
783.75 v1 158581
303.25 v1 158567
209.75 v1 158567
879.25 v1 158566
