timestamps population node_ids
766.0 v1 158370
313.0 v1 158370
197.25 v1 158370
1163.0 v1 158366
758.75 v1 158366
464.25 v1 158366
300.25 v1 158366
74.5 v1 158366
1330.25 v1 158362
1229.0 v1 158362
470.25 v1 158362
1293.5 v1 158361
1045.0 v1 158361
932.75 v1 158361
918.75 v1 158370
730.25 v1 158361
748.0 v1 158374
797.25 v1 158376
1237.0 v1 158389
800.75 v1 158389
412.5 v1 158389
280.25 v1 158389
284.5 v1 158388
1354.0 v1 158387
1086.5 v1 158387
958.5 v1 158387
711.5 v1 158387
470.25 v1 158387
264.25 v1 158387
75.0 v1 158387
1314.25 v1 158386
966.5 v1 158386
84.75 v1 158375
827.25 v1 158386
451.25 v1 158386
305.75 v1 158386
84.0 v1 158386
1350.75 v1 158384
1143.0 v1 158384
676.5 v1 158384
88.0 v1 158384
602.0 v1 158383
320.75 v1 158383
701.5 v1 158381
314.0 v1 158381
232.25 v1 158377
1103.75 v1 158376
935.25 v1 158376
606.75 v1 158386
281.25 v1 158391
608.0 v1 158361
317.75 v1 158361
357.25 v1 158332
47.0 v1 158332
1250.25 v1 158331
1042.5 v1 158331
375.5 v1 158331
193.0 v1 158331
32.5 v1 158331
841.25 v1 158330
509.25 v1 158330
219.75 v1 158330
68.5 v1 158330
1380.5 v1 158326
1158.75 v1 158326
914.75 v1 158326
722.25 v1 158332
61.5 v1 158326
556.25 v1 158325
391.0 v1 158325
54.25 v1 158325
1158.75 v1 158322
1024.25 v1 158322
860.75 v1 158322
666.25 v1 158322
401.75 v1 158322
223.75 v1 158322
123.0 v1 158322
1380.75 v1 158320
1133.0 v1 158320
1080.5 v1 158320
963.75 v1 158320
1208.25 v1 158325
436.75 v1 158361
841.5 v1 158332
223.0 v1 158333
191.75 v1 158361
32.5 v1 158361
1346.0 v1 158359
872.0 v1 158359
114.0 v1 158359
1352.25 v1 158358
1067.5 v1 158358
957.25 v1 158358
417.25 v1 158358
258.75 v1 158358
1251.75 v1 158356
805.25 v1 158356
1285.5 v1 158352
656.0 v1 158352
1161.25 v1 158332
451.75 v1 158352
741.75 v1 158348
720.25 v1 158343
420.0 v1 158343
53.0 v1 158341
673.25 v1 158340
421.5 v1 158340
312.5 v1 158340
203.75 v1 158340
42.5 v1 158340
1273.5 v1 158339
839.0 v1 158339
244.25 v1 158339
746.5 v1 158336
524.0 v1 158333
403.5 v1 158352
957.0 v1 158391
1281.75 v1 158391
36.0 v1 158395
450.5 v1 158429
239.25 v1 158429
1275.75 v1 158426
706.0 v1 158426
1399.25 v1 158424
1194.75 v1 158424
1103.5 v1 158424
801.0 v1 158424
380.75 v1 158424
92.5 v1 158424
1201.5 v1 158420
820.25 v1 158420
376.75 v1 158420
1268.75 v1 158419
977.75 v1 158429
918.5 v1 158419
246.75 v1 158419
1246.25 v1 158417
1036.5 v1 158417
406.0 v1 158417
265.25 v1 158417
1250.5 v1 158416
823.0 v1 158416
773.0 v1 158416
694.5 v1 158416
615.0 v1 158416
430.25 v1 158416
84.75 v1 158416
1356.75 v1 158415
899.5 v1 158415
732.5 v1 158419
785.0 v1 158415
1327.0 v1 158429
709.75 v1 158433
840.75 v1 158448
594.5 v1 158448
314.25 v1 158448
1305.75 v1 158443
1192.0 v1 158443
886.75 v1 158443
841.5 v1 158443
783.0 v1 158443
412.75 v1 158443
218.5 v1 158443
1398.25 v1 158441
1075.25 v1 158441
444.75 v1 158441
299.5 v1 158441
1166.0 v1 158432
35.25 v1 158441
1097.25 v1 158437
996.0 v1 158437
726.75 v1 158437
563.5 v1 158437
402.5 v1 158437
1167.75 v1 158436
1113.25 v1 158436
993.5 v1 158436
739.25 v1 158436
664.25 v1 158436
343.5 v1 158436
297.0 v1 158436
44.25 v1 158436
1400.0 v1 158433
1308.5 v1 158437
439.75 v1 158415
305.25 v1 158415
1398.25 v1 158414
27.5 v1 158402
982.0 v1 158401
709.5 v1 158401
400.25 v1 158401
216.75 v1 158401
1051.75 v1 158400
956.5 v1 158400
743.5 v1 158400
263.0 v1 158400
61.0 v1 158400
1340.5 v1 158397
1267.75 v1 158397
1161.0 v1 158397
1096.25 v1 158397
235.75 v1 158402
953.5 v1 158397
692.75 v1 158397
571.75 v1 158397
497.75 v1 158397
441.5 v1 158397
337.0 v1 158397
237.75 v1 158397
27.75 v1 158397
1192.25 v1 158395
1051.25 v1 158395
985.75 v1 158395
782.25 v1 158395
699.0 v1 158395
611.5 v1 158395
155.75 v1 158395
868.75 v1 158397
340.5 v1 158402
373.5 v1 158402
852.25 v1 158402
1072.0 v1 158414
418.25 v1 158414
301.5 v1 158414
1381.25 v1 158412
937.5 v1 158412
385.75 v1 158412
937.5 v1 158410
696.5 v1 158410
569.5 v1 158410
411.25 v1 158410
157.75 v1 158410
1130.25 v1 158409
269.75 v1 158409
401.0 v1 158408
147.0 v1 158408
1369.0 v1 158407
1078.5 v1 158407
991.25 v1 158402
1076.0 v1 158402
1260.25 v1 158402
1397.75 v1 158402
592.25 v1 158403
1162.75 v1 158403
380.75 v1 158320
51.5 v1 158404
219.25 v1 158407
330.75 v1 158407
428.25 v1 158407
712.25 v1 158407
850.5 v1 158407
954.75 v1 158407
65.0 v1 158407
220.5 v1 158320
209.5 v1 158320
111.25 v1 158320
684.25 v1 158221
396.25 v1 158221
201.5 v1 158221
563.75 v1 158220
84.0 v1 158220
1344.0 v1 158218
1202.75 v1 158218
498.5 v1 158218
1166.5 v1 158215
1095.25 v1 158215
883.0 v1 158215
791.75 v1 158215
721.5 v1 158215
248.5 v1 158215
831.25 v1 158221
114.25 v1 158215
705.5 v1 158214
579.75 v1 158214
408.75 v1 158214
1352.0 v1 158213
1162.0 v1 158213
1063.25 v1 158213
944.25 v1 158213
721.5 v1 158213
199.0 v1 158213
87.25 v1 158213
1248.25 v1 158210
1157.75 v1 158210
953.0 v1 158210
859.0 v1 158210
1009.5 v1 158214
297.75 v1 158210
1094.0 v1 158221
307.25 v1 158223
375.75 v1 158245
185.0 v1 158245
1364.75 v1 158241
1234.75 v1 158240
1119.5 v1 158240
701.75 v1 158240
316.0 v1 158240
103.25 v1 158240
509.5 v1 158238
260.75 v1 158238
980.5 v1 158237
1119.0 v1 158236
776.5 v1 158236
668.5 v1 158236
1331.5 v1 158221
363.5 v1 158236
785.25 v1 158230
1104.75 v1 158229
934.0 v1 158229
375.75 v1 158229
90.5 v1 158229
1347.0 v1 158226
1145.75 v1 158226
953.25 v1 158226
837.5 v1 158226
492.75 v1 158226
106.25 v1 158226
899.25 v1 158225
219.75 v1 158225
830.5 v1 158223
1362.5 v1 158230
142.25 v1 158210
560.5 v1 158207
405.0 v1 158207
26.5 v1 158182
1193.75 v1 158180
1027.0 v1 158180
1098.25 v1 158178
1065.25 v1 158175
901.75 v1 158175
72.75 v1 158175
1327.25 v1 158171
953.5 v1 158171
930.75 v1 158171
544.5 v1 158171
173.5 v1 158171
44.0 v1 158171
834.75 v1 158167
846.5 v1 158182
74.5 v1 158167
488.0 v1 158166
967.75 v1 158165
723.75 v1 158165
1305.5 v1 158161
830.5 v1 158161
611.75 v1 158161
33.25 v1 158161
1180.25 v1 158159
